Abgabe,Date
3456.717142857143,2019-01-15
3407.118571428571,2019-01-17
6164.794285714285,2019-01-21
6338.402857142857,2019-01-24
6092.784285714285,2019-01-25
6252.527142857143,2019-01-28
5008.961428571428,2019-01-29
6221.257142857142,2019-02-01
8730.241428571428,2019-02-04
6159.0657142857135,2019-02-05
5985.457142857143,2019-02-07
5932.265714285713,2019-02-10
5747.0599999999995,2019-02-12
4212.6,2019-02-14
3346.407142857143,2019-02-15
3419.0342857142855,2019-02-18
4482.241428571428,2019-02-19
4538.795714285714,2019-02-20
5191.158571428571,2019-02-25
5387.492857142856,2019-02-27
6339.207142857143,2019-03-04
6160.191428571428,2019-03-06
3700.0199999999995,2019-03-07
2391.584285714285,2019-03-08
2412.531428571428,2019-03-12
1762.8842857142852,2019-03-14
2513.5228571428565,2019-03-18
1884.3199999999995,2019-03-22
2720.2828571428568,2019-03-26
2503.8899999999994,2019-03-27
2475.1085714285714,2019-03-28
3348.1685714285704,2019-04-01
3439.708571428571,2019-04-02
2449.5785714285707,2019-04-03
2525.0928571428567,2019-04-08
4087.037142857142,2019-04-09
4128.211428571428,2019-04-11
4494.852857142856,2019-04-12
3638.159999999999,2019-04-18
3898.544285714285,2019-04-23
5123.394285714285,2019-04-24
4725.36857142857,2019-04-25
2160.374285714285,2019-04-26
2358.6128571428567,2019-04-27
2122.8757142857144,2019-04-29
2055.855714285714,2019-04-30
2669.9171428571426,2019-05-02
1457.761428571428,2019-05-03
1457.761428571428,2019-05-08
1978.3514285714282,2019-05-10
1688.2928571428567,2019-05-14
1729.1971428571421,2019-05-15
1868.2014285714283,2019-05-16
966.0285714285709,2019-05-17
1860.0185714285708,2019-05-20
1860.0185714285708,2019-05-21
1740.4299999999992,2019-05-22
2011.3157142857137,2019-05-23
2090.9428571428566,2019-05-24
2941.631428571428,2019-05-27
2875.1028571428565,2019-05-28
2553.818571428571,2019-05-29
2606.837142857142,2019-05-31
2647.9657142857136,2019-06-01
2833.7942857142853,2019-06-03
3915.657142857142,2019-06-04
3354.562857142857,2019-06-05
3354.5628571428565,2019-06-06
2769.1628571428564,2019-06-07
3129.3799999999997,2019-06-08
4255.3214285714275,2019-06-10
4160.661428571428,2019-06-11
2868.107142857142,2019-06-12
2748.72,2019-06-13
2773.411428571428,2019-06-17
4161.155714285714,2019-06-18
3820.41,2019-06-19
2252.338571428571,2019-06-21
2118.848571428571,2019-06-22
3257.7599999999993,2019-06-24
3218.464285714285,2019-06-25
3566.3914285714277,2019-06-26
2178.647142857142,2019-06-27
3094.0899999999992,2019-06-28
4572.348571428571,2019-07-01
4467.862857142856,2019-07-02
3335.979999999999,2019-07-03
3039.2157142857136,2019-07-04
2917.749999999999,2019-07-05
3199.4057142857137,2019-07-08
3413.2971428571423,2019-07-12
1935.038571428571,2019-07-15
3011.9471428571424,2019-07-17
3076.9257142857136,2019-07-18
4374.624285714285,2019-07-22
4185.185714285713,2019-07-24
4005.2599999999993,2019-07-25
3390.0457142857135,2019-07-26
5157.752857142857,2019-07-29
3956.765714285714,2019-07-30
3917.595714285714,2019-08-01
2619.8971428571426,2019-08-02
3822.4542857142856,2019-08-05
3720.7242857142855,2019-08-06
3425.402857142857,2019-08-07
1774.2714285714283,2019-08-08
2274.2085714285713,2019-08-09
2572.5299999999997,2019-08-12
4839.294285714285,2019-08-14
3643.354285714285,2019-08-15
3697.288571428571,2019-08-16
4905.139999999999,2019-08-19
4788.564285714286,2019-08-21
4720.907142857142,2019-08-22
4375.688571428572,2019-08-23
2301.7128571428566,2019-08-28
2233.381428571428,2019-08-29
2224.3685714285707,2019-08-30
814.7814285714281,2019-08-31
879.7828571428565,2019-09-02
588.1085714285709,2019-09-04
595.0171428571423,2019-09-05
402.2285714285709,2019-09-06
521.4242857142851,2019-09-10
532.1999999999995,2019-09-11
773.3728571428566,2019-09-13
2565.285714285714,2019-09-16
2450.852857142857,2019-09-17
2547.45,2019-09-18
2956.8771428571426,2019-09-19
4167.641428571428,2019-09-23
