Date,Abgabe
2017-09-09,0.0
2017-09-10,0.0
2017-09-11,771.37
2017-09-12,79.43
2017-09-13,0.0
2017-09-14,0.0
2017-09-15,0.0
2017-09-16,0.0
2017-09-17,0.0
2017-09-18,1031.54
2017-09-19,0.0
2017-09-20,0.0
2017-09-21,0.0
2017-09-22,0.0
2017-09-23,0.0
2017-09-24,0.0
2017-09-25,3056.17
2017-09-26,0.0
2017-09-27,0.0
2017-09-28,0.0
2017-09-29,0.0
2017-09-30,0.0
2017-10-01,0.0
2017-10-02,633.92
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,1154.97
2017-10-06,0.0
2017-10-07,0.0
2017-10-08,0.0
2017-10-09,0.0
2017-10-10,0.0
2017-10-11,0.0
2017-10-12,0.0
2017-10-13,0.0
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,0.0
2017-10-17,497.97
2017-10-18,0.0
2017-10-19,0.0
2017-10-20,0.0
2017-10-21,0.0
2017-10-22,0.0
2017-10-23,0.0
2017-10-24,360.23
2017-10-25,0.0
2017-10-26,0.0
2017-10-27,0.0
2017-10-28,0.0
2017-10-29,0.0
2017-10-30,1460.3200000000002
2017-10-31,0.0
2017-11-01,0.0
2017-11-02,1029.32
2017-11-03,0.0
2017-11-04,0.0
2017-11-05,0.0
2017-11-06,480.91
2017-11-07,1645.57
2017-11-08,0.0
2017-11-09,134.66
2017-11-10,0.0
2017-11-11,0.0
2017-11-12,0.0
2017-11-13,0.0
2017-11-14,0.0
2017-11-15,665.84
2017-11-16,0.0
2017-11-17,121.81
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,925.56
2017-11-21,1052.81
2017-11-22,608.68
2017-11-23,0.0
2017-11-24,0.0
2017-11-25,0.0
2017-11-26,0.0
2017-11-27,0.0
2017-11-28,0.0
2017-11-29,0.0
2017-11-30,0.0
2017-12-01,0.0
2017-12-02,0.0
2017-12-03,0.0
2017-12-04,200.92
2017-12-05,0.0
2017-12-06,0.0
2017-12-07,0.0
2017-12-08,3966.99
2017-12-09,0.0
2017-12-10,0.0
2017-12-11,858.9
2017-12-12,0.0
2017-12-13,0.0
2017-12-14,0.0
2017-12-15,0.0
2017-12-16,0.0
2017-12-17,0.0
2017-12-18,1103.94
2017-12-19,4304.03
2017-12-20,5262.610000000001
2017-12-21,0.0
2017-12-22,0.0
2017-12-23,0.0
2017-12-24,0.0
2017-12-25,0.0
2017-12-26,0.0
2017-12-27,0.0
2017-12-28,0.0
2017-12-29,0.0
2017-12-30,0.0
2017-12-31,0.0
2018-01-01,0.0
2018-01-02,0.0
